SK_ID_CURR,TARGET
100001,0.223462823153585
100005,0.391415318422319
100013,0.119768100849849
100028,0.177248907730317
100038,0.332272173966928
100042,0.209777673387873
100057,0.072439743195495
100065,0.08969213268284
100066,0.135960025953576
100067,0.304807274147827
100074,0.180306490284598
100090,0.280221098541253
100091,0.444389423962977
100092,0.361981982667015
100106,0.147140306737609
100107,0.540765870107746
100109,0.232110780667915
100117,0.139931023167318
100128,0.341995511288831
100141,0.166761061399437
100150,0.19131039767681
100168,0.097172802606628
100169,0.24742060774353
100170,0.356530450184573
100171,0.221615681314922
100172,0.393096683798489
100184,0.348598514098817
100187,0.153034167088157
100212,0.159176444262806
100222,0.194792571625206
100223,0.22909527805278
100232,0.154588202653919
100241,0.397149300166329
100245,0.183124084643732
100253,0.19786765458635
100256,0.339724195222706
100271,0.133767431836795
100278,0.518190425286695
100280,0.136109055389797
100306,0.395034777702178
100311,0.350744686557579
100312,0.223390424454763
100330,0.383630557344646
100331,0.160805474086756
100352,0.362977313175309
100358,0.359491124833265
100367,0.168207002763069
100382,0.480968167233437
100384,0.343707946208711
100385,0.370629151394844
100386,0.293554795279468
100399,0.242787242015103
100404,0.186170185089837
100416,0.166585406717956
100422,0.204071786007472
100426,0.195730863944781
100438,0.212679579147232
100444,0.454403476246875
100445,0.375015265112594
100446,0.365902575517047
100447,0.211502202037834
100450,0.381381868304152
100466,0.114339710891455
100483,0.127338915746888
100484,0.202328951038437
100494,0.211022405694958
100510,0.396497370264778
100512,0.176368897421867
100517,0.155944066371772
100548,0.14785872172399
100551,0.187232751041636
100552,0.291360609280454
100553,0.177403889119292
100561,0.387649498983278
100568,0.696427137243608
100569,0.066956571461684
100591,0.24536231762455
100592,0.152546901139155
100602,0.130375652243003
100607,0.248286453773609
100613,0.29141121978399
100617,0.3786672742182
100618,0.297170841651414
100622,0.197404504696117
100625,0.307597160713521
100677,0.371115360457301
100699,0.193012897332084
100702,0.528492433560986
100711,0.177930210275519
100729,0.326872188942956
100740,0.571227916445441
100744,0.463303842501782
100745,0.179583201098129
